Date,USD,EUR
1987-12-15,492.5,369.66
1987-12-16,486.3,364.68
1987-12-17,477.5,356.2
1987-12-18,481.0,361.08
1987-12-21,480.0,360.45
1987-12-22,483.0,361.58
1987-12-23,481.5,361.85
1987-12-24,481.5,361.14
1987-12-25,481.5,361.14
1987-12-28,481.5,361.14
1987-12-29,485.7,356.93
1987-12-30,484.1,355.71
1987-12-31,484.1,351.76
1988-01-01,484.1,351.76
1988-01-04,480.5,350.72
1988-01-05,475.5,355.72
1988-01-06,481.4,364.62
1988-01-07,483.5,364.37
1988-01-08,483.9,367.01
1988-01-11,483.9,364.13
1988-01-12,480.4,361.08
1988-01-13,481.9,361.56
1988-01-14,481.4,362.28
1988-01-15,480.3,369.92
1988-01-18,475.4,366.81
1988-01-19,477.1,367.01
1988-01-20,477.65,364.58
1988-01-21,477.2,364.42
1988-01-22,476.2,365.98
1988-01-25,476.25,366.5
1988-01-26,469.75,361.42
1988-01-27,465.0,356.85
1988-01-28,466.35,357.17
1988-01-29,458.0,352.89
1988-02-01,452.7,351.62
1988-02-02,455.9,352.1
1988-02-03,445.4,344.95
1988-02-04,443.25,343.92
1988-02-05,441.7,343.9
1988-02-08,442.1,343.72
1988-02-09,438.6,342.12
1988-02-10,441.1,342.5
1988-02-11,440.6,342.28
1988-02-12,443.6,348.73
1988-02-15,445.5,349.24
1988-02-16,445.0,349.17
1988-02-17,445.6,348.95
1988-02-18,447.25,351.04
1988-02-19,442.9,347.12
1988-02-22,445.5,346.78
1988-02-23,442.4,343.78
1988-02-24,435.75,338.97
1988-02-25,432.1,336.54
1988-02-26,430.45,333.72
1988-02-29,426.15,330.48
1988-03-01,429.3,332.31
1988-03-02,428.9,333.28
1988-03-03,429.1,334.06
1988-03-04,431.8,335.07
1988-03-07,435.9,335.49
1988-03-08,436.35,334.27
1988-03-09,436.5,334.36
1988-03-10,442.4,339.38
1988-03-11,441.8,338.03
1988-03-14,442.25,338.34
1988-03-15,442.2,338.85
1988-03-16,446.2,343.42
1988-03-17,445.5,346.38
1988-03-18,442.85,345.52
1988-03-21,449.25,349.14
1988-03-22,447.9,348.59
1988-03-23,449.5,349.52
1988-03-24,453.95,350.51
1988-03-25,451.8,347.96
1988-03-28,453.9,346.39
1988-03-29,454.9,347.33
1988-03-30,453.75,347.12
1988-03-31,456.95,347.7
1988-04-01,456.95,347.7
1988-04-04,456.95,347.7
1988-04-05,453.6,347.85
1988-04-06,449.85,345.03
1988-04-07,447.2,344.55
1988-04-08,449.4,345.17
1988-04-11,448.8,347.43
1988-04-12,450.8,349.36
1988-04-13,449.35,349.14
1988-04-14,450.35,344.2
1988-04-15,456.3,348.23
1988-04-18,458.0,348.92
1988-04-19,456.9,349.31
1988-04-20,457.4,349.61
1988-04-21,454.25,347.34
1988-04-22,448.6,344.57
1988-04-25,450.2,346.94
1988-04-26,447.0,343.94
1988-04-27,450.3,346.6
1988-04-28,452.1,346.74
1988-04-29,449.0,345.58
1988-05-02,449.0,345.58
1988-05-03,445.9,343.73
1988-05-04,443.25,342.26
1988-05-05,444.85,343.74
1988-05-06,442.8,342.31
1988-05-09,444.4,343.44
1988-05-10,446.65,344.28
1988-05-11,449.1,346.33
1988-05-12,451.0,348.27
